	(1)	(2)	(3)	(4)	(5)
	r1	r2	r3	r4	r5
VARIABLES	lmrp	lmrp	lmrp	lmrp	lmrp
					
lint_p	0.693***	0.668***	0.689***	0.883***	1.003***
	(0.0687)	(0.0923)	(0.0678)	(0.101)	(0.0956)
lprod		-0.0201**	-0.0563	-0.0227**	-0.0365
		(0.00999)	(0.0611)	(0.00906)	(0.0564)
ag_gdp		0.0129***	0.0117***	0.00891**	0.00636*
		(0.00388)	(0.00332)	(0.00403)	(0.00324)
elect_gdp		0.00236***	0.00157	0.000816	-0.000693
		(0.000894)	(0.00107)	(0.000904)	(0.000841)
2004.year				-0.214**	-0.226***
				(0.100)	(0.0779)
2005.year				-0.257**	-0.313***
				(0.116)	(0.0753)
2006.year				-0.0672	-0.0997
				(0.110)	(0.0670)
2007.year				-0.0309	-0.0567
				(0.134)	(0.0959)
2008.year				0.00755	-0.0209
				(0.142)	(0.0900)
2009.year				-0.255*	-0.330***
				(0.138)	(0.0897)
2010.year				-0.361**	-0.443***
				(0.144)	(0.0997)
2011.year				-0.473***	-0.593***
				(0.157)	(0.127)
2012.year				0.0961	0.0262
				(0.139)	(0.107)
2013.year				0.161	0.133
				(0.144)	(0.0889)
2014.year				-0.137	-0.180*
				(0.121)	(0.0964)
2015.year				0.00380	-0.0314
				(0.0880)	(0.0991)
2016.year				-0.177**	-0.232**
				(0.0851)	(0.114)
2017.year				-0.109	-0.144
				(0.0728)	(0.121)
2018o.year				-	-
					
break14	0.267***	0.0576	0.0740		
	(0.0762)	(0.0719)	(0.0570)		
Constant	0.783	-0.341	-0.268	-1.945**	-2.737***
	(0.696)	(0.836)	(0.657)	(0.879)	(1.010)
					
Observations	228	192	192	192	192
R-squared	0.565	0.583	0.806	0.642	0.872
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
