Importance,Level,Job Zone,Code,Occupation
99,70,5,29-1215.00,Family Medicine Physicians
99,67,5,29-1127.00,Speech-Language Pathologists
97,71,4,29-1141.00,Registered Nurses
97,69,5,29-9091.00,Athletic Trainers
96,77,5,29-1161.00,Nurse Midwives
96,72,3,33-3021.02,Police Identification and Records Officers
95,73,5,29-1071.00,Physician Assistants
95,72,3,29-1141.01,Acute Care Nurses
95,72,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
95,72,3,31-2021.00,Physical Therapist Assistants
95,71,5,29-1229.02,Hospitalists
95,69,4,11-3051.01,Quality Control Systems Managers
95,59,3,31-2011.00,Occupational Therapy Assistants
94,79,5,29-1171.00,Nurse Practitioners
94,78,5,19-1021.00,Biochemists and Biophysicists
94,77,3,27-3092.00,Court Reporters and Simultaneous Captioners
94,74,5,29-1229.01,Allergists and Immunologists
94,74,5,29-1216.00,General Internal Medicine Physicians
94,71,5,29-1141.02,Advanced Practice Psychiatric Nurses
94,65,5,29-1299.01,Naturopathic Physicians
94,63,5,21-1013.00,Marriage and Family Therapists
93,74,3,33-1011.00,First-Line Supervisors of Correctional Officers
93,72,2,43-5031.00,Public Safety Telecommunicators
93,71,5,29-1224.00,Radiologists
93,70,5,29-1041.00,Optometrists
93,69,5,29-1122.00,Occupational Therapists
93,62,5,29-2091.00,Orthotists and Prosthetists
93,61,3,29-2081.00,"Opticians, Dispensing"
92,79,5,29-1151.00,Nurse Anesthetists
92,74,3,53-6051.01,Aviation Inspectors
92,61,5,29-1123.00,Physical Therapists
91,87,5,29-1217.00,Neurologists
91,83,5,29-1241.00,"Ophthalmologists, Except Pediatric"
91,77,5,29-1081.00,Podiatrists
91,76,5,29-1213.00,Dermatologists
91,75,2,31-9093.00,Medical Equipment Preparers
91,73,5,29-1221.00,"Pediatricians, General"
91,70,3,31-9092.00,Medical Assistants
91,70,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
91,70,2,23-2093.00,"Title Examiners, Abstractors, and Searchers"
91,70,3,33-3052.00,Transit and Railroad Police
91,62,3,29-2099.01,Neurodiagnostic Technologists
91,57,4,19-4021.00,Biological Technicians
90,74,5,19-1029.03,Geneticists
90,73,5,25-4011.00,Archivists
90,72,3,29-1124.00,Radiation Therapists
90,71,5,19-3091.00,Anthropologists and Archeologists
90,71,5,29-1222.00,"Physicians, Pathologists"
90,71,3,29-1126.00,Respiratory Therapists
90,69,4,19-2031.00,Chemists
90,68,5,29-1181.00,Audiologists
90,63,4,19-4092.00,Forensic Science Technicians
90,62,5,29-1299.02,Orthoptists
90,61,4,21-1021.00,"Child, Family, and School Social Workers"
90,60,3,33-2021.00,Fire Inspectors and Investigators
90,59,3,29-2099.05,Ophthalmic Medical Technologists
90,57,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
90,51,2,31-1122.00,Personal Care Aides
89,75,3,49-3011.00,Aircraft Mechanics and Service Technicians
89,73,5,29-1229.03,Urologists
89,72,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
89,72,4,29-2011.00,Medical and Clinical Laboratory Technologists
89,71,3,29-2053.00,Psychiatric Technicians
89,69,5,21-1023.00,Mental Health and Substance Abuse Social Workers
89,67,4,11-9199.02,Compliance Managers
89,59,5,25-1122.00,"Communications Teachers, Postsecondary"
88,76,5,29-9099.01,Midwives
88,75,3,19-4051.00,Nuclear Technicians
88,70,5,29-1011.00,Chiropractors
88,69,3,33-1012.00,First-Line Supervisors of Police and Detectives
88,69,5,19-1029.02,Molecular and Cellular Biologists
88,66,4,29-1141.03,Critical Care Nurses
