Importance,Level,Job Zone,Code,Occupation
94,90,2,47-5081.00,Helpers--Extraction Workers
91,94,3,47-2022.00,Stonemasons
90,88,2,47-2151.00,Pipelayers
90,80,1,45-2041.00,"Graders and Sorters, Agricultural Products"
89,92,2,49-9095.00,Manufactured Building and Mobile Home Installers
89,90,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
89,86,2,53-3031.00,Driver/Sales Workers
89,84,3,47-2011.00,Boilermakers
88,92,2,49-9044.00,Millwrights
88,88,2,47-2121.00,Glaziers
88,80,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
87,94,2,47-2041.00,Carpet Installers
87,87,3,49-9081.00,Wind Turbine Service Technicians
87,86,2,47-2171.00,Reinforcing Iron and Rebar Workers
87,86,2,47-2231.00,Solar Photovoltaic Installers
86,93,3,47-4021.00,Elevator and Escalator Installers and Repairers
86,91,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
86,89,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
86,78,3,29-2055.00,Surgical Technologists
86,73,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
85,91,2,49-9051.00,Electrical Power-Line Installers and Repairers
85,90,2,47-2221.00,Structural Iron and Steel Workers
85,87,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
85,87,2,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
85,82,2,51-2092.00,Team Assemblers
85,81,2,47-2072.00,Pile Driver Operators
85,73,2,53-7051.00,Industrial Truck and Tractor Operators
84,94,1,47-5071.00,"Roustabouts, Oil and Gas"
84,89,2,39-6011.00,Baggage Porters and Bellhops
84,86,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
84,84,3,51-9195.05,"Potters, Manufacturing"
84,81,2,47-3012.00,Helpers--Carpenters
84,79,2,51-9197.00,Tire Builders
84,78,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
84,76,2,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
83,90,3,39-4011.00,Embalmers
83,88,2,51-2031.00,Engine and Other Machine Assemblers
83,86,1,47-2051.00,Cement Masons and Concrete Finishers
83,84,2,47-4091.00,Segmental Pavers
83,83,2,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
83,83,3,29-9093.00,Surgical Assistants
83,82,2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
83,78,2,53-7064.00,"Packers and Packagers, Hand"
82,85,3,47-2111.00,Electricians
82,83,2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
82,78,3,31-9099.02,Endoscopy Technicians
82,72,2,51-4071.00,Foundry Mold and Coremakers
81,94,2,47-2181.00,Roofers
81,85,2,47-2044.00,Tile and Stone Setters
81,84,2,31-9093.00,Medical Equipment Preparers
81,84,3,49-3052.00,Motorcycle Mechanics
81,83,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
81,83,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
81,83,2,31-1132.00,Orderlies
81,82,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
81,81,2,49-3091.00,Bicycle Repairers
81,79,2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
81,78,2,53-5011.00,Sailors and Marine Oilers
80,92,1,45-4021.00,Fallers
80,90,2,51-4192.00,"Layout Workers, Metal and Plastic"
80,88,3,49-9092.00,Commercial Divers
80,85,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
80,85,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
80,85,3,33-2011.00,Firefighters
80,85,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
80,83,2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
80,80,3,27-1026.00,Merchandise Displayers and Window Trimmers
80,79,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
80,72,2,51-9141.00,Semiconductor Processing Technicians
80,70,3,19-4013.00,Food Science Technicians
79,89,2,47-2021.00,Brickmasons and Blockmasons
79,88,2,47-2053.00,Terrazzo Workers and Finishers
79,86,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
79,85,2,51-9198.00,Helpers--Production Workers
79,79,2,53-7041.00,Hoist and Winch Operators
79,77,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
79,76,2,49-9099.01,Geothermal Technicians
79,76,3,49-9071.00,"Maintenance and Repair Workers, General"
79,76,2,31-2022.00,Physical Therapist Aides
79,52,1,45-2091.00,Agricultural Equipment Operators
78,88,2,49-9096.00,Riggers
78,87,2,51-7011.00,Cabinetmakers and Bench Carpenters
78,86,2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
78,85,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
78,83,2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
78,83,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
78,81,3,49-3051.00,Motorboat Mechanics and Service Technicians
78,79,2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
78,79,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
78,77,2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
77,87,2,47-2142.00,Paperhangers
77,82,2,49-3022.00,Automotive Glass Installers and Repairers
77,81,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
77,80,2,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
77,79,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
77,78,2,39-3092.00,Costume Attendants
77,74,2,53-7062.04,Recycling and Reclamation Workers
77,70,2,47-2061.00,Construction Laborers
77,59,4,29-1141.00,Registered Nurses
76,85,2,47-2031.00,Carpenters
76,82,2,49-9031.00,Home Appliance Repairers
76,81,2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
76,80,2,53-1041.00,Aircraft Cargo Handling Supervisors
76,80,2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
76,79,2,47-2132.00,"Insulation Workers, Mechanical"
76,79,4,25-4013.00,Museum Technicians and Conservators
76,77,2,53-7063.00,Machine Feeders and Offbearers
76,76,2,51-5113.00,Print Binding and Finishing Workers
76,76,2,47-5043.00,"Roof Bolters, Mining"
76,75,2,53-2031.00,Flight Attendants
76,73,2,53-7081.00,Refuse and Recyclable Material Collectors
76,64,2,51-6051.00,"Sewers, Hand"
76,54,2,43-4121.00,"Library Assistants, Clerical"
75,81,3,49-3023.00,Automotive Service Technicians and Mechanics
75,80,1,47-5011.00,"Derrick Operators, Oil and Gas"
75,80,1,47-2043.00,Floor Sanders and Finishers
75,78,3,53-7021.00,Crane and Tower Operators
75,77,2,37-3013.00,Tree Trimmers and Pruners
75,77,2,51-6093.00,Upholsterers
75,76,2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
75,75,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
75,72,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
75,68,3,49-2098.00,Security and Fire Alarm Systems Installers
75,68,2,49-9052.00,Telecommunications Line Installers and Repairers
75,65,2,31-1121.00,Home Health Aides
74,86,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
74,86,3,51-8013.04,Hydroelectric Plant Technicians
74,85,3,51-7031.00,"Model Makers, Wood"
74,84,2,47-3013.00,Helpers--Electricians
74,84,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
74,84,2,47-5013.00,"Service Unit Operators, Oil and Gas"
74,82,2,51-3093.00,Food Cooking Machine Operators and Tenders
74,81,2,51-5112.00,Printing Press Operators
74,80,2,43-5052.00,Postal Service Mail Carriers
74,80,2,51-6042.00,Shoe Machine Operators and Tenders
74,79,3,27-1012.00,Craft Artists
74,78,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
74,78,1,51-9022.00,"Grinding and Polishing Workers, Hand"
74,74,5,25-4012.00,Curators
74,74,3,29-2034.00,Radiologic Technologists and Technicians
74,69,2,53-7031.00,Dredge Operators
74,67,2,49-3093.00,Tire Repairers and Changers
74,62,3,29-1292.00,Dental Hygienists
73,87,2,49-3043.00,Rail Car Repairers
73,82,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
73,79,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
73,78,3,11-9199.09,Wind Energy Operations Managers
73,77,3,29-2056.00,Veterinary Technologists and Technicians
73,76,3,35-1011.00,Chefs and Head Cooks
73,75,3,29-1141.01,Acute Care Nurses
73,75,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
73,75,2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
73,74,3,51-9161.00,Computer Numerically Controlled Tool Operators
73,74,1,37-3011.00,Landscaping and Groundskeeping Workers
73,73,3,27-4031.00,"Camera Operators, Television, Video, and Film"
73,73,2,49-9094.00,Locksmiths and Safe Repairers
73,73,2,47-4099.03,Weatherization Installers and Technicians
73,61,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
72,83,3,53-5031.00,Ship Engineers
72,82,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
72,81,3,51-7032.00,"Patternmakers, Wood"
72,78,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
72,77,3,49-3011.00,Aircraft Mechanics and Service Technicians
72,77,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
72,77,1,53-7011.00,Conveyor Operators and Tenders
72,77,2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
