Importance,Level,Job Zone,Code,Occupation
98,93,4,27-2032.00,Choreographers
93,84,3,47-2111.00,Electricians
92,69,3,31-2021.00,Physical Therapist Assistants
91,91,3,47-2022.00,Stonemasons
90,91,2,49-9095.00,Manufactured Building and Mobile Home Installers
90,90,2,49-9051.00,Electrical Power-Line Installers and Repairers
90,83,2,47-2041.00,Carpet Installers
90,71,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
89,62,4,29-1141.00,Registered Nurses
88,77,3,27-2031.00,Dancers
87,90,3,49-9081.00,Wind Turbine Service Technicians
87,87,3,47-4021.00,Elevator and Escalator Installers and Repairers
87,71,5,25-2059.01,Adapted Physical Education Specialists
87,61,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
86,84,3,47-2011.00,Boilermakers
86,84,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
86,82,2,49-9052.00,Telecommunications Line Installers and Repairers
86,81,2,47-3012.00,Helpers--Carpenters
86,81,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
86,77,2,47-2142.00,Paperhangers
86,75,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
86,73,2,41-9012.00,Models
85,81,3,49-9092.00,Commercial Divers
85,78,2,47-2053.00,Terrazzo Workers and Finishers
84,88,1,45-4021.00,Fallers
84,85,2,47-2151.00,Pipelayers
84,84,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
84,82,2,47-2231.00,Solar Photovoltaic Installers
84,78,2,47-5081.00,Helpers--Extraction Workers
84,78,3,33-3052.00,Transit and Railroad Police
84,71,2,53-3031.00,Driver/Sales Workers
83,79,3,33-2011.00,Firefighters
83,79,2,47-2181.00,Roofers
83,70,3,29-9093.00,Surgical Assistants
83,61,3,31-2012.00,Occupational Therapy Aides
83,57,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
82,69,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
82,61,2,31-2022.00,Physical Therapist Aides
82,54,3,27-1026.00,Merchandise Displayers and Window Trimmers
81,81,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
81,79,2,37-3013.00,Tree Trimmers and Pruners
81,77,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
81,77,3,45-4011.00,Forest and Conservation Workers
81,74,2,47-4091.00,Segmental Pavers
81,70,3,29-2056.00,Veterinary Technologists and Technicians
81,68,2,49-3022.00,Automotive Glass Installers and Repairers
81,65,3,31-9011.00,Massage Therapists
81,62,2,51-4071.00,Foundry Mold and Coremakers
81,54,2,31-1132.00,Orderlies
80,78,1,47-2051.00,Cement Masons and Concrete Finishers
80,76,4,33-3031.00,Fish and Game Wardens
80,71,2,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
80,66,2,39-2021.00,Animal Caretakers
79,82,2,49-9044.00,Millwrights
79,80,2,47-2221.00,Structural Iron and Steel Workers
79,76,2,47-3013.00,Helpers--Electricians
79,76,2,47-2171.00,Reinforcing Iron and Rebar Workers
79,67,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
79,66,4,29-1128.00,Exercise Physiologists
79,65,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
79,65,2,53-7051.00,Industrial Truck and Tractor Operators
79,64,2,49-9011.00,Mechanical Door Repairers
79,60,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
79,58,3,31-2011.00,Occupational Therapy Assistants
78,81,2,47-5013.00,"Service Unit Operators, Oil and Gas"
78,76,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
78,74,2,39-2011.00,Animal Trainers
78,70,5,29-1011.00,Chiropractors
78,70,3,49-2098.00,Security and Fire Alarm Systems Installers
78,67,2,51-9197.00,Tire Builders
78,60,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
77,71,2,47-4099.03,Weatherization Installers and Technicians
77,67,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
77,66,2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
77,65,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
77,65,2,43-5052.00,Postal Service Mail Carriers
77,60,2,51-9141.00,Semiconductor Processing Technicians
77,59,4,11-9179.01,Fitness and Wellness Coordinators
77,59,1,47-2043.00,Floor Sanders and Finishers
77,58,2,45-2021.00,Animal Breeders
77,56,3,19-4013.00,Food Science Technicians
76,77,2,49-9096.00,Riggers
76,75,2,47-2121.00,Glaziers
76,73,2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
76,72,2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
76,70,3,49-3052.00,Motorcycle Mechanics
76,69,3,51-7032.00,"Patternmakers, Wood"
76,68,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
76,67,2,27-2011.00,Actors
76,67,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
76,67,2,51-9198.00,Helpers--Production Workers
76,66,3,29-1141.01,Acute Care Nurses
76,66,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
76,66,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
76,58,2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
76,52,2,51-6042.00,Shoe Machine Operators and Tenders
75,84,1,47-5071.00,"Roustabouts, Oil and Gas"
75,82,3,11-9199.09,Wind Energy Operations Managers
75,80,2,47-2031.00,Carpenters
75,76,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
75,72,1,47-2161.00,Plasterers and Stucco Masons
75,69,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
75,65,2,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
75,65,2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
75,61,2,33-9011.00,Animal Control Workers
75,48,2,31-1122.00,Personal Care Aides
74,81,3,51-8013.04,Hydroelectric Plant Technicians
74,80,2,53-5011.00,Sailors and Marine Oilers
74,71,2,47-2132.00,"Insulation Workers, Mechanical"
74,69,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
74,68,3,33-3011.00,Bailiffs
74,67,2,49-9099.01,Geothermal Technicians
74,64,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
