Importance,Level,Job Zone,Code,Occupation
78,64,2,47-2221.00,Structural Iron and Steel Workers
72,57,2,47-2171.00,Reinforcing Iron and Rebar Workers
72,55,2,27-2021.00,Athletes and Sports Competitors
69,70,3,47-2022.00,Stonemasons
69,63,3,33-2011.00,Firefighters
69,57,2,47-2021.00,Brickmasons and Blockmasons
69,57,2,47-2061.00,Construction Laborers
69,57,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
69,55,2,37-3013.00,Tree Trimmers and Pruners
66,57,1,47-5011.00,"Derrick Operators, Oil and Gas"
66,57,2,49-9095.00,Manufactured Building and Mobile Home Installers
66,55,2,47-5081.00,Helpers--Extraction Workers
66,55,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
66,54,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
66,54,2,47-5043.00,"Roof Bolters, Mining"
66,52,2,49-9044.00,Millwrights
66,50,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
66,45,3,27-2031.00,Dancers
63,64,1,45-4021.00,Fallers
63,61,2,47-2041.00,Carpet Installers
63,59,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
63,55,2,49-3093.00,Tire Repairers and Changers
63,54,2,39-6011.00,Baggage Porters and Bellhops
63,54,1,47-5051.00,"Rock Splitters, Quarry"
63,52,2,49-3043.00,Rail Car Repairers
63,50,2,51-4071.00,Foundry Mold and Coremakers
60,57,2,47-4031.00,Fence Erectors
60,55,2,31-1132.00,Orderlies
60,54,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
60,54,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
60,54,2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
60,53,1,45-3031.00,Fishing and Hunting Workers
60,52,2,47-2031.00,Carpenters
60,52,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
60,52,1,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
60,52,2,47-4051.00,Highway Maintenance Workers
60,52,2,49-9011.00,Mechanical Door Repairers
56,55,2,45-4011.00,Forest and Conservation Workers
56,54,2,53-1041.00,Aircraft Cargo Handling Supervisors
56,54,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
56,54,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
56,54,1,47-5071.00,"Roustabouts, Oil and Gas"
56,52,1,47-2161.00,Plasterers and Stucco Masons
56,50,2,51-7011.00,Cabinetmakers and Bench Carpenters
56,48,3,33-3051.00,Police and Sheriff's Patrol Officers
56,48,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
56,46,3,47-2011.00,Boilermakers
56,46,2,51-9198.00,Helpers--Production Workers
56,46,3,31-1131.00,Nursing Assistants
56,46,2,53-7081.00,Refuse and Recyclable Material Collectors
56,46,2,47-4091.00,Segmental Pavers
56,45,3,49-9092.00,Commercial Divers
56,45,2,47-2081.00,Drywall and Ceiling Tile Installers
56,45,2,51-7021.00,Furniture Finishers
56,45,2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
53,57,1,47-2051.00,Cement Masons and Concrete Finishers
53,57,2,47-3016.00,Helpers--Roofers
53,55,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
53,55,2,49-9051.00,Electrical Power-Line Installers and Repairers
53,55,3,33-1011.00,First-Line Supervisors of Correctional Officers
53,55,2,47-2053.00,Terrazzo Workers and Finishers
53,54,2,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
53,54,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
